rank,symbol,year,quarter,earnings_date,category,session,predicted,confidence,confidence_normalized,csv_t30_change,t30_actual,hit_result,status,elapsed_seconds,from_date,to_date,from_close,to_close,tag_financials,tag_past,tag_peers,main_summary,notes_financials,notes_past,notes_peers,raw_output,error
122,VICI,2021,3,2021-10-28,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
123,INCY,2020,3,2020-11-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
124,XOM,2023,4,2024-02-02,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
125,DASH,2021,4,2022-02-16,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
126,WM,2023,2,2023-07-26,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
127,TTWO,2021,1,2020-08-04,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
128,TTD,2024,2,2024-08-09,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
129,WSM,2020,1,2020-05-29,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
130,PNR,2022,1,2022-04-21,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
131,EL,2023,3,2023-05-03,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
132,DVN,2021,1,2021-05-05,RANDOM,AMC,N/A,0.0,0.0,,,ERROR,exception,0.0,,,,,N/A,N/A,N/A,,,,,,analyze_earnings_async() got an unexpected keyword argument 'session'
